Sample,Coal,SiO2,TiO2,Al2O3,Fe2O3,MnO,MgO,CaO,SrO,BaO,Na2O,K2O,sSiO2,sTiO2,sAl2O3,sFe2O3,sMnO,sMgO,sCaO,sSrO,sBaO,sNa2O,sK2O,Si,Ti,Al,Fe3,Mn,Mg,Ca,Sr,Ba,Na,K,Sum,sSi,sTi,sAl,sFe3,sMn,sMg,sCa,sSr,sBa,sNa,sK,An,Ab,Or,Cn
BB11-1,U,61.32,0.02,18.82,0.62,0.10,0.01,0.02,0.12,3.54,0.81,14.01,0.21,0.03,0.11,0.08,0.09,0.01,0.00,0.04,0.12,0.04,0.14,2.921,0.001,1.057,0.022,0.004,0.001,0.001,0.003,0.066,0.075,0.851,5.002,0.010,0.002,0.011,0.006,0.007,0.001,0.000,0.002,0.004,0.007,0.017,0.001,0.075,0.857,0.067
BB11-1,U,61.71,0.07,19.33,0.47,0.09,0.01,0.02,0.12,3.63,1.06,14.75,0.21,0.03,0.11,0.08,0.08,0.00,0.03,0.04,0.12,0.05,0.14,2.899,0.002,1.070,0.017,0.004,0.001,0.001,0.003,0.067,0.097,0.884,5.045,0.010,0.002,0.011,0.006,0.006,0.000,0.003,0.002,0.004,0.009,0.017,0.001,0.092,0.843,0.064
BB11-1,U,63.96,0.06,18.63,0.59,0.09,0.01,0.02,0.29,1.20,1.57,14.33,0.21,0.03,0.11,0.08,0.10,0.02,0.01,0.04,0.08,0.06,0.14,2.957,0.002,1.015,0.021,0.004,0.001,0.001,0.008,0.022,0.141,0.845,5.016,0.010,0.002,0.011,0.006,0.008,0.003,0.001,0.002,0.003,0.011,0.016,0.001,0.140,0.838,0.022
BB11-1,U,63.77,0.02,18.54,0.69,0.08,0.03,0.02,0.12,1.55,1.65,13.85,0.21,0.03,0.11,0.08,0.08,0.01,0.03,0.04,0.09,0.06,0.14,2.960,0.001,1.014,0.024,0.003,0.002,0.001,0.003,0.028,0.148,0.820,5.005,0.010,0.002,0.011,0.006,0.006,0.001,0.003,0.002,0.003,0.011,0.016,0.001,0.149,0.822,0.028
BB11-1,U,62.60,0.02,19.33,0.65,0.08,0.01,0.02,0.12,3.15,0.97,14.16,0.21,0.02,0.11,0.08,0.08,0.00,0.04,0.04,0.11,0.05,0.14,2.920,0.001,1.063,0.023,0.003,0.001,0.001,0.003,0.058,0.088,0.842,5.002,0.010,0.001,0.011,0.006,0.006,0.000,0.004,0.002,0.004,0.009,0.016,0.001,0.089,0.852,0.058
BB11-1,U,63.89,0.06,18.30,0.63,0.09,0.01,0.02,0.04,1.58,2.12,12.77,0.21,0.03,0.11,0.08,0.07,0.01,0.00,0.04,0.09,0.07,0.13,2.974,0.002,1.004,0.022,0.004,0.001,0.001,0.001,0.029,0.191,0.758,4.986,0.010,0.002,0.011,0.006,0.006,0.001,0.000,0.002,0.003,0.013,0.015,0.001,0.195,0.774,0.029
BB11-1,U,65.40,0.02,18.78,0.61,0.09,0.01,0.02,0.11,0.55,3.32,11.99,0.21,0.03,0.11,0.08,0.08,0.01,0.02,0.03,0.07,0.08,0.13,2.973,0.001,1.006,0.021,0.003,0.001,0.001,0.003,0.010,0.293,0.695,5.007,0.010,0.002,0.011,0.005,0.006,0.001,0.002,0.002,0.002,0.014,0.015,0.001,0.293,0.696,0.010
BB11-1,U,65.16,0.02,18.25,0.79,0.09,0.01,0.02,0.15,0.26,1.32,14.38,0.21,0.02,0.10,0.08,0.08,0.01,0.00,0.04,0.06,0.06,0.14,2.991,0.001,0.987,0.027,0.003,0.001,0.001,0.004,0.005,0.117,0.842,4.980,0.010,0.001,0.010,0.006,0.006,0.001,0.000,0.002,0.002,0.011,0.016,0.001,0.122,0.872,0.005
BB11-1,U,62.19,0.02,19.21,0.55,0.09,0.01,0.02,0.11,3.89,0.84,14.01,0.21,0.03,0.11,0.08,0.09,0.00,0.02,0.03,0.12,0.05,0.14,2.919,0.001,1.063,0.019,0.004,0.001,0.001,0.003,0.072,0.076,0.839,4.997,0.010,0.002,0.011,0.006,0.007,0.000,0.002,0.002,0.004,0.009,0.017,0.001,0.077,0.849,0.072
BB11-1,U,64.23,0.02,18.90,0.91,0.09,0.01,0.02,0.04,1.76,2.49,12.17,0.21,0.03,0.11,0.08,0.09,0.01,0.02,0.04,0.09,0.07,0.13,2.954,0.001,1.024,0.031,0.004,0.001,0.001,0.001,0.032,0.222,0.714,4.985,0.010,0.002,0.011,0.006,0.007,0.001,0.002,0.002,0.003,0.012,0.015,0.001,0.229,0.737,0.033
