Sample,Coal,SiO2,TiO2,Al2O3,Fe2O3,MnO,MgO,CaO,SrO,BaO,Na2O,K2O,Total,sSiO2,sTiO2,sAl2O3,sFe2O3,sMnO,sMgO,sCaO,sSrO,sBaO,sNa2O,sK2O,sTotal,Si,Ti,Al,Fe3,Mn,Mg,Ca,Sr,Ba,Na,K,Sum,sSi,sTi,sAl,sFe3,sMn,sMg,sCa,sSr,sBa,sNa,sK,sTotal,An,Ab,Or,Cn,sAn,sAb,sOr,sCn
BB11-1,U,65.17,0,18.8,0.16,0,0,0.06,0.32,0.84,2.97,11.47,99.79,0.21,0.02,0.11,0.07,0.09,0,0.02,0.04,0.07,0.08,0.12,0.31,2.987,0,1.016,0.006,0,0,0.003,0.009,0.015,0.264,0.671,4.969,0.009,0,0.011,0.005,0,0,0.002,0.002,0.003,0.014,0.014,0.03,0.003,0.277,0.704,0.016,0.002,0.011,0.012,0.003
BB11-1,U,65.17,0,19.19,0.69,0,0,0,0.18,1.04,2.9,12.32,101.49,0.21,0.04,0.11,0.08,0.15,0.02,0.02,0.04,0.08,0.08,0.13,0.35,2.959,0,1.027,0.024,0,0,0,0.005,0.018,0.255,0.713,5.001,0.01,0,0.011,0.006,0,0,0,0.002,0.003,0.014,0.015,0.03,0,0.259,0.723,0.019,0,0.011,0.011,0.003
BB11-1,U,61.69,0,19.08,0.68,0,0,0,0.11,3.67,0.77,15.13,101.13,0.21,0.03,0.11,0.09,0.09,0.01,0.03,0.04,0.12,0.05,0.14,0.33,2.907,0,1.06,0.024,0,0,0,0.003,0.068,0.07,0.909,5.041,0.01,0,0.011,0.006,0,0,0,0.002,0.004,0.008,0.017,0.03,0,0.067,0.868,0.065,0,0.007,0.008,0.004
BB11-1,U,61.32,0,18.82,0.62,0,0,0,0.12,3.54,0.81,14.01,99.24,0.21,0.03,0.11,0.08,0.09,0.01,0,0.04,0.12,0.04,0.14,0.33,2.924,0,1.058,0.022,0,0,0,0.003,0.066,0.075,0.852,5,0.01,0,0.011,0.006,0,0,0,0.002,0.004,0.008,0.016,0.02,0,0.075,0.858,0.067,0,0.008,0.008,0.004
BB11-1,U,61.71,0.07,19.33,0.47,0,0,0,0.12,3.63,1.06,14.75,101.14,0.21,0.03,0.11,0.08,0.08,0,0.03,0.04,0.12,0.05,0.14,0.33,2.901,0.002,1.071,0.017,0,0,0,0.003,0.067,0.097,0.885,5.043,0.01,0.002,0.011,0.005,0,0,0,0.002,0.004,0.009,0.017,0.03,0,0.092,0.844,0.064,0,0.008,0.008,0.004
BB11-1,U,63.96,0.06,18.63,0.59,0,0,0,0.29,1.2,1.57,14.33,100.63,0.21,0.03,0.11,0.08,0.1,0.02,0.01,0.04,0.08,0.06,0.14,0.32,2.959,0.002,1.016,0.021,0,0,0,0.008,0.022,0.141,0.846,5.014,0.01,0.002,0.011,0.006,0,0,0,0.002,0.003,0.011,0.016,0.03,0,0.14,0.839,0.022,0,0.01,0.01,0.003
BB11-1,U,63.77,0,18.54,0.69,0,0.03,0,0.12,1.55,1.65,13.85,100.2,0.21,0.03,0.11,0.08,0.08,0.01,0.03,0.04,0.09,0.06,0.14,0.32,2.962,0,1.015,0.024,0,0.002,0,0.003,0.028,0.149,0.821,5.003,0.01,0,0.011,0.006,0,0.002,0,0.002,0.003,0.011,0.016,0.03,0,0.149,0.823,0.028,0,0.01,0.01,0.003
BB11-1,U,62.6,0,19.33,0.65,0,0,0,0.12,3.15,0.97,14.16,100.98,0.21,0.02,0.11,0.08,0.08,0,0.04,0.04,0.11,0.05,0.14,0.32,2.922,0,1.063,0.023,0,0,0,0.003,0.058,0.088,0.843,5,0.01,0,0.011,0.006,0,0,0,0.002,0.004,0.009,0.016,0.02,0,0.089,0.853,0.058,0,0.008,0.009,0.004
BB11-1,U,63.89,0.06,18.3,0.63,0,0,0,0,1.58,2.12,12.77,99.35,0.21,0.03,0.11,0.08,0.07,0.01,0,0.04,0.09,0.07,0.13,0.31,2.976,0.002,1.005,0.022,0,0,0,0,0.029,0.191,0.759,4.984,0.01,0.002,0.011,0.006,0,0,0,0,0.003,0.012,0.015,0.03,0,0.196,0.775,0.029,0,0.01,0.01,0.003
BB11-1,U,65.4,0,18.78,0.61,0,0,0,0.11,0.55,3.32,11.99,100.76,0.21,0.03,0.11,0.08,0.08,0.01,0.02,0.03,0.07,0.08,0.13,0.31,2.976,0,1.007,0.021,0,0,0,0.003,0.01,0.293,0.696,5.005,0.01,0,0.011,0.005,0,0,0,0.002,0.002,0.015,0.015,0.03,0,0.293,0.697,0.01,0,0.012,0.012,0.002
