Sample,Coal,SiO2,TiO2,Al2O3,Y2O3,Ce2O3,Fe2O3,CaO,P2O5,Nb2O5,Ta2O5,Total,sSiO2,sTiO2,sAl2O3,sY2O3,sCe2O3,sFe2O3,sCaO,sP2O5,sNb2O5,sTa2O5,sTotal,Si,Ti,Al,Y,Ce,Fe3,Ca,P,Nb,Ta,Sum,sSi,sTi,sAl,sY,sCe,sFe3,sCa,sP,sNb,sTa,sSum,Ce+Y,Al,Fe3,sCe+Y,sAl,sFe3
BB11-1,U,28.93,40.17,0.41,0.04,0.18,2.3,27.23,0.04,0.04,0,99.34,0.09,0.17,0.01,0.01,0.03,0.04,0.12,0.01,0.02,0.05,0.24,0.958,1,0.016,0.001,0.002,0.057,0.966,0.001,0.001,0,3.001,0.005,0.006,0.001,0.001,0.001,0.002,0.008,0.001,0,0,0.011,0.037,0.209,0.754,0.011,0.009,0.012
BB11-1,U,30.12,40.78,0.35,0.04,0.21,1.8,27.7,0.03,0.1,0,101.14,0.09,0.17,0.01,0.01,0.03,0.03,0.12,0.01,0.02,0.05,0.24,0.976,0.994,0.013,0.001,0.002,0.044,0.962,0.001,0.001,0,2.996,0.005,0.006,0.001,0.001,0.001,0.002,0.008,0.001,0,0,0.011,0.053,0.223,0.725,0.014,0.01,0.015
BB11-1,U,29.69,40.34,0.42,0.04,0.18,2.5,27.69,0.03,0.04,0,100.93,0.09,0.17,0.01,0.01,0.03,0.04,0.12,0.01,0.02,0.05,0.24,0.967,0.988,0.016,0.001,0.002,0.061,0.966,0.001,0.001,0,3.003,0.005,0.006,0.001,0.001,0.001,0.002,0.008,0.001,0,0,0.011,0.036,0.2,0.765,0.01,0.008,0.012
BB11-1,U,29.98,40.8,0.4,0.07,0.15,2.2,27.91,0.04,0.04,0,101.6,0.09,0.17,0.01,0.01,0.03,0.04,0.12,0.01,0.02,0.05,0.24,0.969,0.992,0.015,0.001,0.002,0.054,0.966,0.001,0.001,0,3.001,0.005,0.006,0.001,0,0.001,0.002,0.008,0.001,0,0,0.011,0.041,0.213,0.746,0.011,0.009,0.012
BB11-1,U,30.25,40.55,0.37,0.03,0.25,2.26,28.05,0.04,0.07,0,101.87,0.09,0.17,0.01,0.01,0.03,0.04,0.12,0.01,0.02,0.05,0.24,0.975,0.983,0.014,0.001,0.003,0.055,0.969,0.001,0.001,0,3.002,0.005,0.006,0.001,0,0.001,0.002,0.008,0.001,0,0,0.011,0.048,0.194,0.757,0.011,0.009,0.012
BB11-1,U,30.07,40.96,0.41,0,0.16,2.2,27.9,0,0.06,0,101.76,0.09,0.18,0.01,0.01,0.03,0.04,0.12,0.01,0.02,0.05,0.24,0.97,0.994,0.016,0,0.002,0.053,0.964,0,0.001,0,3,0.005,0.006,0.001,0,0.001,0.002,0.008,0,0,0,0.011,0.027,0.221,0.751,0.009,0.009,0.012
BB11-1,U,29.74,40.8,0.43,0.05,0.24,1.89,27.95,0.05,0.09,0,101.25,0.09,0.17,0.01,0.02,0.03,0.04,0.12,0.01,0.02,0.05,0.24,0.965,0.996,0.016,0.001,0.003,0.046,0.972,0.001,0.001,0,3.002,0.005,0.006,0.001,0.001,0.001,0.002,0.008,0.001,0,0,0.011,0.055,0.247,0.697,0.013,0.01,0.014
GC12-2,Y,30.14,38.36,1.61,0.29,0.3,1.55,27.15,0.08,0.19,0,99.66,0.09,0.18,0.01,0.02,0.03,0.03,0.12,0.01,0.02,0.05,0.24,0.989,0.946,0.062,0.005,0.004,0.038,0.954,0.002,0.003,0,3.003,0.005,0.006,0.001,0.001,0.001,0.002,0.008,0.001,0.001,0,0.012,0.079,0.571,0.351,0.009,0.011,0.01
GC12-2,Y,30.58,38.05,1.76,0.21,0.22,1.68,27.18,0.07,0.17,0,99.92,0.09,0.17,0.01,0.02,0.03,0.03,0.12,0.01,0.02,0.06,0.24,0.999,0.934,0.068,0.004,0.003,0.041,0.951,0.002,0.003,0,3.003,0.005,0.006,0.001,0.001,0.001,0.002,0.008,0.001,0.001,0,0.012,0.054,0.588,0.358,0.008,0.01,0.01
GC12-2,Y,30.36,38.15,1.61,0.25,0.29,1.65,27.41,0.08,0.26,0,100.06,0.09,0.18,0.01,0.02,0.03,0.03,0.12,0.01,0.02,0.05,0.24,0.992,0.938,0.062,0.004,0.003,0.04,0.96,0.002,0.004,0,3.006,0.005,0.006,0.001,0.001,0.001,0.002,0.008,0.001,0.001,0,0.012,0.071,0.562,0.367,0.008,0.01,0.01
GC12-2,Y,29.17,37.47,1.11,0.17,0.07,1.49,27.11,0,0.04,0,96.63,0.09,0.17,0.01,0.02,0.03,0.03,0.12,0.01,0.02,0.05,0.24,0.988,0.955,0.044,0.003,0.001,0.038,0.984,0,0.001,0,3.013,0.005,0.006,0.001,0.001,0.001,0.002,0.008,0,0,0,0.012,0.046,0.513,0.442,0.01,0.012,0.012
GC12-2,Y,29.18,36.86,1.73,0.22,0.24,1.42,27.28,0.08,0.15,0,97.17,0.09,0.17,0.01,0.02,0.03,0.03,0.12,0.01,0.02,0.05,0.24,0.984,0.934,0.069,0.004,0.003,0.036,0.985,0.002,0.002,0,3.019,0.005,0.006,0.001,0.001,0.001,0.002,0.008,0.001,0.001,0,0.012,0.063,0.615,0.322,0.008,0.011,0.01
GC12-2,Y,29.67,37.56,1.49,0.25,0.23,1.27,26.9,0.23,0.27,0,97.86,0.09,0.17,0.01,0.02,0.03,0.03,0.12,0.02,0.02,0.05,0.24,0.99,0.943,0.059,0.004,0.003,0.032,0.962,0.006,0.004,0,3.003,0.005,0.006,0.001,0.001,0.001,0.001,0.008,0.001,0.001,0,0.012,0.075,0.6,0.326,0.009,0.012,0.011
GC12-2,Y,30.07,38.54,1.2,0.22,0.24,1.21,26.99,0.1,0.26,0,98.83,0.09,0.18,0.01,0.02,0.03,0.03,0.12,0.01,0.02,0.06,0.24,0.994,0.958,0.047,0.004,0.003,0.03,0.955,0.003,0.004,0,2.997,0.005,0.006,0.001,0.001,0.001,0.001,0.008,0.001,0.001,0,0.012,0.08,0.56,0.359,0.011,0.013,0.013
GC12-2,Y,29.61,37.3,1.73,0.2,0.17,1.41,27.05,0.05,0.2,0,97.73,0.09,0.17,0.01,0.02,0.03,0.03,0.12,0.01,0.02,0.05,0.24,0.99,0.938,0.068,0.004,0.002,0.036,0.969,0.001,0.003,0,3.011,0.005,0.006,0.001,0.001,0.001,0.002,0.008,0.001,0.001,0,0.012,0.052,0.623,0.325,0.008,0.011,0.01
GC12-3,Y,29,36.06,1.58,0.17,0.26,2.15,26.61,0,0.13,0,95.96,0.09,0.17,0.01,0.02,0.03,0.04,0.12,0.01,0.02,0.05,0.24,0.99,0.926,0.064,0.003,0.003,0.055,0.974,0,0.002,0,3.018,0.005,0.006,0.001,0.001,0.001,0.002,0.008,0,0.001,0,0.012,0.051,0.508,0.441,0.007,0.01,0.01
GC12-3,Y,29.22,35.65,1.75,0.12,0.21,2.22,26.93,0.04,0.11,0,96.25,0.09,0.17,0.01,0.02,0.03,0.04,0.12,0.01,0.02,0.05,0.24,0.994,0.912,0.07,0.002,0.003,0.057,0.982,0.001,0.002,0,3.023,0.005,0.006,0.001,0.001,0.001,0.002,0.008,0.001,0.001,0,0.012,0.036,0.533,0.431,0.007,0.009,0.009
GC12-3,Y,29.86,35.56,2.26,0.22,0.16,1.94,26.98,0,0.16,0,97.13,0.09,0.17,0.02,0.02,0.03,0.03,0.12,0.01,0.02,0.05,0.24,1.004,0.899,0.089,0.004,0.002,0.049,0.972,0,0.002,0,3.021,0.005,0.006,0.001,0.001,0.001,0.002,0.008,0,0.001,0,0.012,0.04,0.62,0.34,0.006,0.009,0.009
GC12-3,Y,30.42,36.39,2.25,0.2,0.15,2.01,27.14,0.06,0.15,0,98.76,0.09,0.17,0.02,0.02,0.03,0.04,0.12,0.01,0.02,0.05,0.24,1.004,0.904,0.088,0.004,0.002,0.05,0.96,0.002,0.002,0,3.015,0.005,0.006,0.001,0.001,0.001,0.002,0.008,0.001,0.001,0,0.012,0.038,0.613,0.349,0.006,0.009,0.009
GC12-3,Y,30.02,36.95,1.83,0.18,0.2,1.97,27.22,0.06,0.08,0,98.52,0.09,0.17,0.01,0.02,0.03,0.03,0.12,0.01,0.02,0.05,0.24,0.996,0.922,0.071,0.003,0.002,0.049,0.967,0.002,0.001,0,3.014,0.005,0.006,0.001,0.001,0.001,0.002,0.008,0.001,0.001,0,0.012,0.045,0.566,0.39,0.007,0.01,0.009
GC12-3,Y,30.1,37.13,1.74,0.16,0.17,2.08,26.96,0.03,0.18,0,98.54,0.09,0.17,0.01,0.02,0.03,0.04,0.12,0.01,0.02,0.05,0.24,0.998,0.926,0.068,0.003,0.002,0.052,0.957,0.001,0.003,0,3.009,0.005,0.006,0.001,0.001,0.001,0.002,0.008,0.001,0.001,0,0.012,0.039,0.545,0.417,0.007,0.01,0.01
GC12-3,Y,30.22,36.84,1.74,0.16,0.24,1.83,27.21,0.07,0.13,0,98.44,0.09,0.17,0.01,0.02,0.03,0.03,0.12,0.01,0.02,0.05,0.24,1.003,0.919,0.068,0.003,0.003,0.046,0.967,0.002,0.002,0,3.012,0.005,0.006,0.001,0.001,0.001,0.002,0.008,0.001,0.001,0,0.012,0.048,0.57,0.382,0.008,0.01,0.01
GC12-3,Y,28.92,36.72,1.51,0.25,0.51,1.89,26.77,0.05,0.14,0.15,96.91,0.09,0.17,0.01,0.02,0.03,0.03,0.12,0.01,0.02,0.05,0.24,0.981,0.937,0.06,0.004,0.006,0.048,0.973,0.001,0.002,0.001,3.015,0.005,0.006,0.001,0.001,0.001,0.002,0.008,0.001,0.001,0.001,0.012,0.09,0.506,0.404,0.008,0.01,0.01
GC12-3,Y,29.24,36.87,1.55,0.18,0.31,1.16,26.98,0.1,0.1,0,96.5,0.09,0.17,0.01,0.02,0.03,0.03,0.12,0.01,0.02,0.05,0.24,0.991,0.94,0.062,0.003,0.004,0.03,0.98,0.003,0.002,0,3.013,0.005,0.006,0.001,0.001,0.001,0.001,0.008,0.001,0.001,0,0.012,0.072,0.627,0.3,0.009,0.012,0.011
GC12-3,Y,29.33,36.98,1.55,0.17,0.22,1.45,26.84,0.06,0.08,0,96.68,0.09,0.17,0.01,0.02,0.03,0.03,0.12,0.01,0.02,0.05,0.24,0.992,0.94,0.062,0.003,0.003,0.037,0.972,0.002,0.001,0,3.011,0.005,0.006,0.001,0.001,0.001,0.002,0.008,0.001,0.001,0,0.012,0.055,0.591,0.354,0.009,0.011,0.011
